sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom
JCa.-01,33377,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,546,4010,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.606527999999997,-23.644780999999998]}",0101000020E6100000EE06D15AD12650C009151C5E10A537C0
JCa.-02,33378,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,546,4030,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.603027999999995,-23.632100000000001]}",0101000020E6100000A0A4C002982650C036CD3B4ED1A137C0
JCa.-35,34533,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,602,3512,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.617197000000004,-23.621594000000002]}",0101000020E61000001E8CD827802750C0CC63CDC8209F37C0
JCa.-04,33886,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,607,4352,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.600931000000003,-23.617242000000001]}",0101000020E6100000C4094CA7752650C0B7B75B92039E37C0
JCa.-06,33887,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,522,4090,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.594341999999997,-23.653136]}",0101000020E6100000E92807B3092650C01BD7BFEB33A737C0
JCa.-07,33895,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,556,4227,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.607386000000005,-23.659224999999999]}",0101000020E610000017838769DF2650C0A2B437F8C2A837C0
JCa.-08,33896,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,488,3917,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.592150000000004,-23.6417]}",0101000020E6100000E4141DC9E52550C0DCD7817346A437C0
JCa.-10,33897,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,502,3956,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.591257999999996,-23.630649999999999]}",0101000020E6100000E55FCB2BD72550C0EF38454772A137C0
JCa.-12,33898,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,551,4180,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.611149999999995,-23.637291999999999]}",0101000020E6100000D3BCE3141D2750C09F008A9125A337C0
JCa.-13,33899,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,451,4028,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.584818999999996,-23.647347]}",0101000020E610000015C5ABAC6D2550C0E9297288B8A537C0
JCa.-14,33900,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,563,4109,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.606769,-23.624458000000001]}",0101000020E610000081CEA44DD52650C0BFB9BF7ADC9F37C0
JCa.-15,33901,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,561,4069,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.598918999999995,-23.624967000000002]}",0101000020E6100000FE7C5BB0542650C049145AD6FD9F37C0
JCa.-17,33902,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,514,4069,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.589518999999996,-23.622008000000001]}",0101000020E6100000B857E6ADBA2550C0B2D991EA3B9F37C0
JCa.-18,33903,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,508,4059,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.583952999999994,-23.636644]}",0101000020E6100000AB59677C5F2550C0D331E719FBA237C0
JCa.-20,33904,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,556,4180,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.582350000000005,-23.627791999999999]}",0101000020E6100000D734EF38452550C0C0B0FCF9B6A037C0
JCa.-23,33905,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,529,4008,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.600211000000002,-23.639468999999998]}",0101000020E6100000C4EC65DB692650C04ACE893DB4A337C0
JCa.-24,33906,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,534,3398,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.605699999999999,-23.637713999999999]}",0101000020E6100000FBCBEEC9C32650C08B33863941A337C0
