idempresa,anio,mes,idpozo,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,iny_co2,iny_otro,tef,vida_util,tipoextraccion,tipoestado,tipopozo,observaciones,fechaingreso,rectificado,habilitado,idusuario,empresa,sigla,formprod,profundidad,formacion,idareapermisoconcesion,areapermisoconcesion,idareayacimiento,areayacimiento,cuenca,provincia,tipo_de_recurso,proyecto,clasificacion,subclasificacion,sub_tipo_recurso,fecha_data
SMO,2019,1,79223,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.EO.x-1,YACO,4031,yacoraite,LBR,LA BREA (CNO-9),EOCU,EL OCULTO,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79226,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,En Reparación,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-1,YACO,1646,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79224,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.EO.x-2,YACO,3436,yacoraite,LBR,LA BREA (CNO-9),EOCU,EL OCULTO,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79225,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.EO.x-1001,YACO,2569,yacoraite,LBR,LA BREA (CNO-9),EOCU,EL OCULTO,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79227,0,0,0,0,0,0,0,0,,Bombeo Mecánico,Parado Transitoriamente,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-3,YACO,1582,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79228,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-7,YACO,937,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79229,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,Abandonado,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-9,YACO,2031,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79230,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,Abandonado,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JE.x-1,YACO,1925,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79232,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.LBE.x-1,YACO,1900,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
SMO,2019,1,79231,0,0,0,0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,0,59:26.0,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.LLB.x-1,YACO,1962,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2019
