,idempresa,anio,mes,idpozo,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,iny_co2,iny_otro,tef,vida_util,tipoextraccion,tipoestado,tipopozo,observaciones,fechaingreso,rectificado,habilitado,idusuario,empresa,sigla,formprod,profundidad,formacion,idareapermisoconcesion,areapermisoconcesion,idareayacimiento,areayacimiento,cuenca,provincia,tipo_de_recurso,proyecto,clasificacion,subclasificacion,sub_tipo_recurso,fecha_data
0,SMO,2020,1,79231,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.LLB.x-1,YACO,1962.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
1,SMO,2020,1,79228,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-7,YACO,937.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
2,SMO,2020,1,79229,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,Abandonado,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-9,YACO,2031.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
3,SMO,2020,1,79227,0.0,0.0,0.0,0.0,0,0,0,0,,Bombeo Mecánico,Parado Transitoriamente,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-3,YACO,1582.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
4,SMO,2020,1,79232,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.LBE.x-1,YACO,1900.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
5,SMO,2020,1,79233,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.LBs.x-1,YACO,2026.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
6,SMO,2020,1,79226,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,En Reparación,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JB.x-1,YACO,1646.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
7,SMO,2020,1,79223,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.EO.x-1,YACO,4031.0,yacoraite,LBR,LA BREA (CNO-9),EOCU,EL OCULTO,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
8,SMO,2020,1,79230,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,Abandonado,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.JE.x-1,YACO,1925.0,yacoraite,LBR,LA BREA (CNO-9),LABE,LA BREA ESTE,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
9,SMO,2020,1,79225,0.0,0.0,0.0,0.0,0,0,0,0,,Sin Sistema de Extracción,A Abandonar,Petrolífero,,21:48.2,f,t,456,SELVA MARIA OIL S.A.,YPF.Jj.EO.x-1001,YACO,2569.0,yacoraite,LBR,LA BREA (CNO-9),EOCU,EL OCULTO,NORESTE,Jujuy,CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,,1/31/2020
