SIGLA,IDENTIFICA,EMPRESA,AREA,YACIMIENTO,FORMACION,CUENCA_1,PROVINCIA,COTA,PROFUNDIDA,CLASIFICAC,SUBCLASIFI,TIPO_RECUR,SUB_TIPO_R,GASPLUS,TIPO_POZO,TIPO_EXTRA,TIPO_ESTAD,FECHA_INIC,FECHA_FIN_,ASFECHA_IN,FECHA_F_01,CUENCA_2,TIPO,UBICACION,GEOJSON,geometry
CHE.Md.CHx-1,596,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),formación improductiva,CUYANA,Mendoza,1046.73 m,2934 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-69.00735 -33.344875)
CHE.Md.CHx-2,597,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),formación improductiva,CUYANA,Mendoza,1005.91 m,3327 m,No informado,No informado,No informado,No informado,no,Inyección de Agua,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-69.003933 -33.369403)
CHE.Md.CHx-5(ia),599,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),formación improductiva,CUYANA,Mendoza,964.76 m,3231 m,No informado,No informado,No informado,No informado,no,Inyección de Agua,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.990378 -33.386181)
CHE.Md.CHa-8,603,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),barrancas,CUYANA,Mendoza,953.18 m,3313 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.997739 -33.399072)
CHE.Md.CHa-13,607,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),barrancas,CUYANA,Mendoza,992.43 m,2079 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.996822 -33.372875)
CHE.Md.CH-22,609,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),formación improductiva,CUYANA,Mendoza,995.97 m,3272 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-69.001125 -33.375181)
CHE.Md.CH-30,610,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),barrancas,CUYANA,Mendoza,1039.25 m,3252 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.987433 -33.326806)
CHE.Md.CHOx-1,611,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),formación improductiva,CUYANA,Mendoza,1037.37 m,4778 m,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-69.016933 -33.365903)
CHE.Md.CH-1016,737,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),barrancas,CUYANA,Mendoza,995 m,3620 m,No informado,No informado,No informado,No informado,no,Inyección de Agua,Sin Sistema de Extracción,Parado Transitoriamente,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.971628 -33.350853)
CHE.Md.CH-1020(ia),738,Petrolera Aconcagua Energia S.A.,CHAÑARES HERRADOS (CHA),CHAÑARES HERRADOS (CHA),barrancas,CUYANA,Mendoza,1014 m,3670 m,No informado,No informado,No informado,No informado,no,Inyección de Agua,Sin Sistema de Extracción,Parado Transitoriamente,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.979767 -33.349014)
